bird_id,timestamp,latitude,longitude
6dc480cc-48bd-498b-9608-70157e322746,2025-06-27T13:33:00.891000,30.2,34.2
e3dd44fe-7cc1-4d0e-b3a5-b97273875150,2025-06-27T13:33:00.891000,30.2,34.2
28acbb3a-6c50-4284-ab7d-419c6e59634f,2025-06-27T13:33:00.891000,30.2,34.2
001bcad3-589d-4d89-87fb-751b7148ef6a,2025-06-27T13:33:00.891000,30.2,34.2
0b97f2c9-5d8f-4f3c-b469-64791604715a,2025-06-27T13:33:00.891000,30.2,34.2
8fb43aa9-abd9-4179-a867-7f9980ef3dfe,2025-06-27T13:33:00.891000,30.2,34.2
de623455-0621-4e65-b8b7-a54dce248834,2025-06-27T13:33:00.891000,30.2,34.2
0711ab0b-adc7-465e-b872-0c3340889766,2025-06-27T13:33:00.891000,30.2,34.2
d97b073c-906f-4109-8c6b-1658c4c42d53,2025-06-27T13:33:00.891000,30.2,34.2
a6698d4b-42cd-485d-be5c-3b1409379e4e,2025-06-27T13:33:00.891000,30.2,34.2
